,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
188,Piston,250,216.0,180.0,62.0,155,1480,1750.0,1450.0,5000,3305,30.5,38.1,835,2500000.0
189,Piston,225,211.0,204.0,62.0,150,1170,1500.0,1675.0,4700,3184,29.1,38.2,939,2000000.0
190,Piston,210,207.0,200.0,62.0,90,1160,1675.0,1650.0,4630,3038,29.1,38.2,1080,2000000.0
191,Piston,210,200.0,194.0,61.0,93,1105,1675.0,1650.0,4630,2850,29.1,38.2,920,2930000.0
192,Piston,210,201.0,195.0,61.0,93,1155,1595.0,1650.0,4500,2815,29.1,38.0,920,3010000.0
193,Piston,210,201.0,195.0,59.0,93,1155,1595.0,1520.0,4500,2795,29.1,38.0,920,3010000.0
194,Piston,210,202.0,196.0,57.0,93,1250,1490.0,1500.0,4300,2785,29.1,38.0,920,3100000.0
195,Piston,210,172.0,169.0,61.0,90,940,1675.0,1650.0,4630,2925,29.9,38.2,1139,1630000.0
196,Piston,210,173.0,165.0,61.0,93,1100,1675.0,1650.0,4630,2695,29.9,38.2,920,1800000.0
197,Piston,210,173.0,166.0,60.0,93,1180,1565.0,1650.0,4440,2660,29.9,38.2,922,1930000.0
198,Piston,210,173.0,166.0,60.0,93,1200,1545.0,1650.0,4400,2655,29.9,38.0,920,1950000.0
199,Piston,210,173.0,166.0,58.0,93,1200,1545.0,1520.0,4400,2650,29.9,38.0,922,1950000.0
200,Piston,210,174.0,167.0,57.0,93,1250,1490.0,1500.0,4300,2615,29.9,38.0,922,2000000.0
201,Piston,210,174.0,167.0,55.0,93,1200,1435.0,1465.0,4200,2615,29.9,38.0,922,2050000.0
202,Piston,210,159.0,150.0,52.0,93,1300,1145.0,1395.0,3900,2320,29.7,38.0,880,1900000.0
203,Propjet,675,182.0,154.0,61.0,335,1234,2053.0,1655.0,8000,3973,37.6,52.1,866,2500000.0
204,Propjet,675,186.0,154.0,61.0,335,975,2420.0,1880.0,8750,4765,41.7,52.1,810,2370000.0
205,Piston,325,224.0,212.0,55.0,85,1150,2110.0,1600.0,4100,2471,28.4,38.1,715,2500000.0
206,Piston,310,201.0,191.0,58.0,90,945,2160.0,1500.0,4000,2481,28.2,36.9,661,2300000.0
207,Piston,325,224.0,207.0,55.0,87,1150,2110.0,1600.0,4100,2320,28.4,38.1,715,2900000.0
208,Piston,310,204.0,192.0,58.0,90,930,2160.0,1500.0,4000,2303,28.2,36.9,715,2700000.0
209,Piston,310,204.0,197.0,57.0,90,1030,1900.0,1500.0,3800,2306,28.2,36.9,732,2850000.0
210,Piston,285,205.0,187.0,57.0,90,930,2030.0,1500.0,3800,2180,28.3,36.9,732,2850000.0
211,Piston,285,203.0,194.0,55.0,89,1115,1365.0,1355.0,3400,2050,28.3,36.9,739,3020000.0
212,Piston,285,200.0,191.0,54.0,65,1280,1265.0,1340.0,3300,1965,28.0,36.7,539,3130000.0
213,Piston,300,174.0,170.0,57.0,90,950,2030.0,1500.0,3800,2219,28.2,36.9,600,1730000.0
214,Piston,285,174.0,167.0,55.0,90,1000,1365.0,1355.0,3400,1960,28.3,36.9,760,1830000.0
215,Piston,285,172.0,165.0,54.0,65,1115,1265.0,1340.0,3300,1865,28.0,36.7,640,1990000.0
216,Piston,285,173.0,166.0,53.0,65,1210,1110.0,1275.0,3100,1860,28.4,36.7,640,2100000.0
217,Piston,260,170.0,160.0,52.0,65,1270,1210.0,1110.0,3000,1780,27.3,36.6,680,2030000.0
218,Piston,260,173.0,165.0,51.0,65,1300,1135.0,1190.0,2900,1740,27.3,36.5,700,2070000.0
219,Piston,310,170.0,161.0,59.0,61,885,1860.0,1500.0,3800,2254,32.2,35.1,583,2600000.0
220,Piston,300,150.0,143.0,59.0,61,810,1970.0,1500.0,3800,2177,32.2,35.1,612,1330000.0
221,Piston,310,155.0,135.0,52.0,92,835,2790.0,1750.0,3600,2404,29.8,35.1,640,2560000.0
222,Piston,285,157.0,143.0,50.0,65,950,2400.0,1610.0,3600,2295,28.6,35.1,626,2420000.0
223,Piston,300,137.0,131.0,51.0,92,925,2820.0,1675.0,3500,2342,29.8,35.1,680,1390000.0
224,Piston,300,136.0,130.0,53.0,61,855,2475.0,1570.0,3500,2312,29.8,35.1,580,1390000.0
225,Piston,300,136.0,131.0,49.0,65,855,2475.0,1570.0,3500,2200,28.6,35.1,510,1390000.0
226,Piston,310,174.0,152.0,54.0,92,1010,1640.0,1395.0,3600,2066,28.3,35.1,640,2700000.0
227,Piston,285,174.0,148.0,53.0,65,1030,1810.0,1395.0,3600,1935,28.9,35.1,580,2630000.0
228,Piston,285,174.0,160.0,53.0,65,1030,1810.0,1395.0,3600,1795,27.8,36.7,627,2630000.0
229,Piston,300,156.0,147.0,54.0,92,920,1780.0,1395.0,3600,2002,28.3,35.1,680,1480000.0
230,Piston,300,151.0,143.0,53.0,65,920,1780.0,1395.0,3600,1725,28.8,36.7,510,1480000.0
231,Piston,285,151.0,142.0,53.0,65,920,1810.0,1340.0,3600,1795,27.9,36.7,555,1480000.0
232,Piston,285,154.0,144.0,52.0,65,1075,1265.0,1340.0,3300,1760,27.9,36.7,563,1670000.0
233,Piston,285,174.0,160.0,53.0,65,1030,1810.0,1395.0,3600,1915,28.3,36.7,609,2630000.0
234,Piston,310,178.0,150.0,54.0,92,1050,1740.0,1395.0,3600,2351,28.3,36.0,713,2700000.0
235,Piston,300,151.0,142.0,54.0,92,988,1860.0,1395.0,3600,2351,28.3,36.0,713,1570000.0
236,Piston,285,151.0,142.0,53.0,65,920,1810.0,1395.0,3600,1820,28.3,36.7,555,1480000.0
237,Piston,285,154.0,143.0,52.0,65,1075,1265.0,1340.0,3300,1790,28.2,36.6,565,1670000.0
238,Piston,260,145.0,138.0,50.0,65,965,1465.0,1510.0,3300,1750,27.3,36.6,515,1610000.0
239,Piston,275,152.0,143.0,54.0,80,1135,1605.0,1495.0,3350,2050,27.3,36.2,583,1625000.0
